Timestamp,Stimulus,Action,Correct,Reaction_Time_ms
2025-07-12 12:21:51,Go,Shoot,Yes,1074
2025-07-12 12:21:52,Go,No Shot,No,
2025-07-12 12:21:52,No-Go,No Shot,Yes,
2025-07-12 12:21:52,Go,Shoot,Yes,963
2025-07-12 12:21:53,Go,No Shot,No,
2025-07-12 12:21:53,Go,Shoot,Yes,1074
2025-07-12 12:21:53,No-Go,No Shot,Yes,
2025-07-12 12:21:53,Go,Shoot,Yes,1257
2025-07-12 12:21:54,Go,No Shot,No,
2025-07-12 12:21:55,No-Go,No Shot,Yes,
2025-07-12 12:21:55,Go,No Shot,No,
2025-07-12 12:21:55,Go,No Shot,No,
2025-07-12 12:21:55,No-Go,No Shot,Yes,
2025-07-12 12:21:56,Go,No Shot,No,
2025-07-12 12:35:06,Go,Shoot,Yes,3743
2025-07-12 12:35:07,Go,No Shot,No,
2025-07-12 12:35:07,Go,Shoot,Yes,3512
2025-07-12 12:35:08,Go,Shoot,Yes,3137
2025-07-12 12:35:08,Go,Shoot,Yes,2599
2025-07-12 12:35:10,Go,Shoot,Yes,1357
2025-07-12 12:35:11,No-Go,No Shot,Yes,
2025-07-12 12:35:11,Go,Shoot,Yes,2125
2025-07-12 12:35:11,No-Go,No Shot,Yes,
2025-07-12 12:35:12,Go,Shoot,Yes,1996
2025-07-12 12:35:12,Go,Shoot,Yes,1660
2025-07-12 12:35:13,Go,Shoot,Yes,1492
2025-07-12 12:35:14,Go,Shoot,Yes,1050
2025-07-12 12:35:16,No-Go,No Shot,Yes,
2025-07-12 12:35:17,Go,No Shot,No,
2025-07-12 12:35:17,No-Go,No Shot,Yes,
2025-07-12 12:35:18,No-Go,No Shot,Yes,
2025-07-12 12:35:19,Go,No Shot,No,
2025-07-12 12:35:19,No-Go,No Shot,Yes,
2025-07-12 12:35:20,Go,No Shot,No,
2025-07-12 12:35:20,Go,Shoot,Yes,1111
2025-07-12 12:35:20,No-Go,No Shot,Yes,
2025-07-12 12:35:21,No-Go,No Shot,Yes,
